row_idx,time_s,Shoulder_world_roll_deg,Shoulder_world_pitch_deg,Shoulder_world_yaw_deg,Elbow_world_roll_deg,Elbow_world_pitch_deg,Elbow_world_yaw_deg,Wrist_world_roll_deg,Wrist_world_pitch_deg,Wrist_world_yaw_deg,Shoulder_world_from_intrinsic_roll_deg,Shoulder_world_from_intrinsic_pitch_deg,Shoulder_world_from_intrinsic_yaw_deg,Elbow_world_from_intrinsic_roll_deg,Elbow_world_from_intrinsic_pitch_deg,Elbow_world_from_intrinsic_yaw_deg,Wrist_world_from_intrinsic_roll_deg,Wrist_world_from_intrinsic_pitch_deg,Wrist_world_from_intrinsic_yaw_deg
0,0.014226,1.1169,0.6118,13.5038,1.5868,1.8159,-12.7168,-0.7055,5.0913,-21.7165,1.1169,0.6118,13.5037,1.5868,1.8159,-12.7169,-0.7054,5.0913,-21.7165
1,0.103357,1.0954,0.6035,13.5326,1.6131,1.8152,-12.7355,-0.7157,5.0846,-21.7542,1.0953,0.6035,13.5326,1.6130,1.8152,-12.7356,-0.7158,5.0847,-21.7543
2,0.178443,1.0979,0.6107,13.5540,1.5948,1.8255,-12.7299,-0.7067,5.0946,-21.7675,1.0979,0.6107,13.5541,1.5948,1.8255,-12.7299,-0.7067,5.0946,-21.7675
3,0.288884,1.0940,0.6153,13.5883,1.6000,1.8331,-12.7205,-0.7146,5.1020,-21.7455,1.0940,0.6153,13.5882,1.6000,1.8331,-12.7205,-0.7145,5.1020,-21.7455
4,0.367906,1.1027,0.6138,13.6416,1.5875,1.8312,-12.6843,-0.7244,5.1046,-21.7297,1.1027,0.6138,13.6417,1.5875,1.8312,-12.6843,-0.7244,5.1045,-21.7297
5,0.463605,1.0972,0.6122,13.7253,1.5830,1.8371,-12.6589,-0.7246,5.1130,-21.7305,1.0972,0.6122,13.7253,1.5830,1.8371,-12.6589,-0.7246,5.1130,-21.7305
6,0.539636,1.0994,0.6113,13.7420,1.5905,1.8360,-12.6575,-0.7149,5.1132,-21.7257,1.0994,0.6112,13.7420,1.5905,1.8359,-12.6575,-0.7149,5.1131,-21.7257
7,0.603921,1.1067,0.6024,13.8442,1.5938,1.8272,-12.5612,-0.7085,5.1044,-21.6851,1.1068,0.6024,13.8442,1.5938,1.8272,-12.5612,-0.7086,5.1045,-21.6851
8,0.707739,1.1153,0.5903,13.9782,1.5967,1.8188,-12.4512,-0.7008,5.0940,-21.5951,1.1152,0.5904,13.9782,1.5967,1.8188,-12.4512,-0.7008,5.0941,-21.5951
9,0.789974,1.1140,0.5786,14.0594,1.5869,1.8091,-12.3831,-0.6954,5.0822,-21.5361,1.1140,0.5786,14.0594,1.5869,1.8091,-12.3831,-0.6953,5.0821,-21.5362
